Sr No,,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042
1,General Information
2,Client,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94
3,Your_income_tax_rate,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112
4,Spouse
5,Spouse's_income_tax_rate,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
6,Income
7,EARNED_INCOME,126930,134812,138183,141637,145178,5198,5328,0,0,0,0,0,0,0,0,0,0,0,0
8,OAS,706,724,742,760,779,799,819,839,860,882,904,926,949,973,998,1022,1048,1074,1101
9,OAS_CLAWBACK,706,724,742,760,779,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,CPP,1038,1064,1091,1118,1146,1174,1204,1234,1265,1296,1329,1362,1396,1431,1467,1503,1541,1579,1619
11,NON_REGISTERED_DIVIDEND,2382,3355,4435,5568,6757,63857,65132,66427,67664,68915,70180,71457,72751,74058,75382,76632,77882,79138,80394
12,OTHER_PENSION,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231,1231
13,SALE_OF_NON_REGISTERED_ASSET,0,0,0,0,0,107,361,4572,5110,5654,6329,6797,7371,7891,12838,14138,15113,16329,17345
14,RRIF_WITHDRAWAL,3179,3315,3459,3610,3769,3936,4114,4302,4502,4718,4954,5219,5532,5973,238,-10,-10,-10,-10
15,TFSA_WITHDRAWAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,0,35,0,0
16,SALE_OF_HOME,0,0,0,0,2925104,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,total_funds_in,135466,144501,149141,153924,3083964,76302,78189,78605,80632,82696,84927,86992,89230,91557,92237,94516,96840,99341,101680
18,TAX,33249,36504,38123,39794,41520,13715,14117,12958,13332,13716,14114,14520,14950,15421,14198,14483,14836,15200,15560
19,ANNUAL_RETIREMENT_EXPENSES,54000,55350,56734,58152,59606,61096,62623,64189,65794,67439,69125,70853,72624,74440,76301,78208,80163,82167,84222
20,HEALTH_CARE_EXPENSES,1250,1281,1313,1346,1380,1414,1450,1486,1523,1561,1600,1640,1681,1723,1766,1810,1856,1902,1950
21,ONE_OFF_EXPENSES,0,0,0,0,132458,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,total_funds_out,89205,93859,96912,100052,235743,76225,78190,78633,80649,82716,84839,87013,89255,91584,92265,94501,96855,99269,101732
23,net_funds_in,46261,50642,52229,53872,2848221,77,-1,-28,-17,-20,88,-21,-25,-27,-28,15,-15,72,-52
24,NON_REGISTERED_ASSET,167747,221745,278408,337848,3192826,3256576,3321347,3383202,3445757,3509018,3572869,3637529,3702909,3769076,3831619,3894114,3956882,4019691,4082741
25,NON_REGISTERED_BOOK_VALUE,106521,157164,209392,263264,3111485,3111382,3111044,3106846,3102246,3097256,3091779,3086013,3079882,3073447,3063183,3052102,3040489,3028188,3015378
26,RRIF,43101,41510,39711,37689,35428,32910,30112,27014,23592,19818,15656,11063,5973,238,10,20,30,42,54
27,TFSA,134084,139448,145026,150828,156862,163136,169662,176448,183506,190846,198480,206420,214676,223264,232111,241395,251017,261057,271499
28,HOME,2716250,2784156,2853760,2925104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,CLEARING,0,0,0,0,0,78,76,48,31,11,99,78,54,27,0,15,0,72,20
30,total_assets,3061182,3186859,3316905,3451469,3385116,3452700,3521197,3586712,3652886,3719693,3787104,3855090,3923612,3992605,4063740,4135544,4207929,4280862,4354314
